record_name,position,picture,type,conditional_changes,field_name,description,notes
A,397-397,X(01),AN,,option_papers_on_file,"OPTION PAPERS ON FILE; values include:
“Y” = Option Papers on File
“N” = No Option Papers on File",INVESTMENT OBJECTIVE DETAILS
A,398-398,X(01),AN,,pershing_internal_use_only,For Pershing Internal Use Only,INVESTMENT OBJECTIVE DETAILS
A,399-399,X(01),AN,,good_faith_margin,"GOOD FAITH MARGIN; values include:
“Y” = Account is good faith margin account
“N” = Account is not good faith margin account
“” = Not applicable",INVESTMENT OBJECTIVE DETAILS
A,400-400,X(01),AN,,investment_professional_discretion_granted,"INVESTMENT PROFESSIONAL DISCRETION GRANTED;
values include:
“N” = No
“Y” = Yes",DISCRETION
A,401-401,X(01),AN,,invest_advisor_discretion_granted,"INVEST. ADVISOR DISCRETION GRANTED; values include:
“N” = No
“Y” = Yes",DISCRETION
A,402-402,X(01),AN,,third_party_discretion_granted,"THIRD PARTY DISCRETION GRANTED; values include:
“N” = No
“Y” = Yes",DISCRETION
A,403-417,X(15),AN,,third_party_name,THIRD PARTY NAME (free-form text),DISCRETION
A,418-418,X(01),AN,,risk_factor_code,"RISK FACTOR CODE; values include:
Pershing default values below:
“L” = Low
“M” = Moderate
“H” = High
“S” = Speculative
New FINRA recommended values supported by Pershing-contact your Account Manager for more information (eff. 9/15/2017):
“C” = Conservative
“R” = Moderately conservative
“E” = Moderate
“I” = Moderately aggressive
“A” = Significant Risk
“” = Not available or populated",DISCRETION
A,419-422,X(04),AN,,investment_objective_code,"INVESTMENT OBJECTIVE CODE; values are customer- or Pershing-defined; Pershing defined values:
“I” = Income
“L” = Long-Term Growth
“S” = Short-Term Growth
“” = Not applicable",DISCRETION
A,423-423,X(01),AN,,option_equities,"OPTION – EQUITIES; values include:
“N” = No
“Y” = Yes",OPTION TRADING
A,424-424,X(01),AN,,option_index,"OPTION – INDEX; values include:
“N” = No
“Y” = Yes",OPTION TRADING
A,425-425,X(01),AN,,option_debt,"OPTION – DEBT; values include:
“N” = No
“Y” = Yes",OPTION TRADING
A,426-426,X(01),AN,,option_currency,"OPTION – CURRENCY; values include:
“N” = No
“Y” = Yes",OPTION TRADING
A,427-427,X(01),AN,,option_level_1,"OPTION LEVEL 1; values include:
“O”  = Covered Only
“P”  = Covered and Protective Puts
“” = Not applicable",OPTION LEVELS: Only the highest level will be populated
A,428-428,X(01),AN,,option_level_2,"OPTION LEVEL 2; values include:
“L”   = Covered/Long
“” = Not applicable",OPTION LEVELS: Only the highest level will be populated
A,429-429,X(01),AN,,option_level_3,"OPTION LEVEL 3; values include:
“S”   = Covered/Long/Spreads
“” = Not applicable",OPTION LEVELS: Only the highest level will be populated
A,430-430,X(01),AN,,option_level_4,"OPTION LEVEL 4; values include:
“A”   = All
“” = Not applicable",OPTION LEVELS: Only the highest level will be populated
A,431-440,9(10),N,,option_call_limits,OPTION – CALL LIMITS,OPTION LEVELS: Only the highest level will be populated
A,441-450,9(10),N,,option_put_limits,OPTION – PUT LIMITS,OPTION LEVELS: Only the highest level will be populated
A,451-460,9(10),N,,option_total_limits_of_puts_and_calls,OPTION – TOTAL LIMITS OF PUTS AND CALLS,OPTION LEVELS: Only the highest level will be populated
A,461-461,X(01),AN,,non_us_dollar_trading,"NON-US DOLLAR TRADING; values include:
“Y” = Account approved for trading in non-US Dollars
“N” = Not eligible to trade non-US Dollars (default)","BROKERAGE INFORMATION
NOTE: The following field also appears in Record W, position 042, for ease of use"
A,462-464,X(03),AN,,not_used (Reserved for future use),Not Used (Reserved for future use),BROKERAGE INFORMATION
A,465-465,X(01),AN,,non_customer_indicator,"NON-CUSTOMER INDICATOR; values include:
“” = Customer Account
“N” = Firm Account
“P” = Principal/Office Account
“S” = Commission Account",BROKERAGE INFORMATION
A,466-467,X(02),AN,,third_party_fee_indicator,"THIRD PARTY FEE INDICATOR; values include:
“Y” = Yes
“N” = No",BROKERAGE INFORMATION
A,468-475,9(08),N,,third_party_fee_approval_date,"THIRD PARTY FEE APPROVAL DATE, in CCYYMMDD
format",BROKERAGE INFORMATION
A,476-476,X(01),AN,,intermediary_account_indicator,"INTERMEDIARY ACCOUNT INDICATOR; effective 3rd  Q,
2020; values include:
“Y” = Account is an Intermediary Account
“N” = Not applicable; account is not an Intermediary Account",BROKERAGE INFORMATION
A,477-478,X(02),AN,,commission_schedule,"COMMISSION SCHEDULE; values include:
“” = Standard
“C” = Discount",BROKERAGE INFORMATION
A,479-483,X(05),AN,,group_index,GROUP INDEX,BROKERAGE INFORMATION
A,484-486,X(03),AN,,money_manager_id,MONEY MANAGER ID; Money Manager code from old ACCOUNT MNEMONIC field,BROKERAGE INFORMATION
A,487-489,X(03),AN,,money_manager_objective_id,MONEY MANAGER OBJECTIVE ID; Investment Objective code from old ACCOUNT MNEMONIC field,BROKERAGE INFORMATION
A,490-494,X(05),AN,,dtc_id_confirm_number_for_non_cod_account,DTC ID CONFIRM NUMBER FOR NON-COD ACCOUNT,BROKERAGE INFORMATION
A,495-503,X(09),AN,,caps_master_mnemonic,"CAPS MASTER MNEMONIC; legacy field, no longer used. Contains previously populated data for customers who have used it before.  It cannot be updated.",BROKERAGE INFORMATION
A,504-511,X(08),AN,,employee_id,EMPLOYEE ID,BROKERAGE INFORMATION
A,512-512,X(01),AN,,prime_broker_free_fund_indicator,"PRIME BROKER/FREE FUND INDICATOR; values include:
“” = Not applicable
“B” = Pershing LLC as Prime Broker
“C” = Broker/Dealer Credit
“F” = Free Fund Letter (COD accounts only)
“T” = Broker/Dealer Trust (COD accounts only)
“X” = Execution for Prime Broker (COD accounts only)",BROKERAGE INFORMATION
A,513-513,X(01),AN,,fee_based_account_indicator,"FEE BASED ACCOUNT INDICATOR; values include:
“Y” = Yes; account is Fee Based
“N” = No; account is not Fee Based",BROKERAGE INFORMATION
A,514-516,X(03),AN,,billing_type,"BILLING TYPE; values include:
“” = Standard
“FC” = Fee Based",BROKERAGE INFORMATION
A,517-524,9(08),N,,fee_based_termination_date_in,"FEE BASED TERMINATION DATE, in CCYYMMDD format",BROKERAGE INFORMATION
A,525-525,X(01),AN,,not_used (formerly EQUIFAX/CREDIT CHECK INDICATOR),Not Used (formerly EQUIFAX/CREDIT CHECK INDICATOR),BROKERAGE INFORMATION
A,526-557,X(32),AN,,plan_name,PLAN NAME (for Self-Directed 401(k) and CPPS accounts),BROKERAGE INFORMATION
A,558-589,X(32),AN,,self_directed_401k_account_type,SELF-DIRECTED 401(k) ACCOUNT TYPE,BROKERAGE INFORMATION
A,590-591,X(02),AN,,plan_type,"PLAN TYPE (for Self-Directed 401(k) and Retirement accounts); see Appendix D, “Plan Types”.  Values can also be customer-defined for Self-Directed 401(k) accounts.",BROKERAGE INFORMATION
A,592-601,X(10),AN,,plan_number,PLAN NUMBER (for Self-Directed 401(k) and CPPS accounts),BROKERAGE INFORMATION
A,602-605,X(04),AN,,employee_employee_relative_ind,"EMPLOYEE/EMPLOYEE RELATIVE IND., values include:
“” = Not applicable
“E” = Employee
“ER”  = Employee Related",BROKERAGE INFORMATION
A,606-623,9(09)v9(09),N,,commission_percent_discount,COMMISSION PERCENT DISCOUNT; actual % discounted,BROKERAGE INFORMATION
A,624-624,X(01),AN,,block_mutual_fund_fees,"BLOCK MUTUAL FUND FEES; values include:
“D” = Use the default set at the Introducing Broker/Dealer (IBD) Level (redefined)
“B” = Block MF Fees when IBD level default is not to block
“N” = Do not Block MF Fees when the IBD level default is to block
“C” = Credit Mutual Fund Fee to Customer Account
“” = No value entered/Not applicable",BROKERAGE INFORMATION
A,625-639,X(15),AN,,name_of_investment_professional_who_signed_new_account_form,NAME OF INVESTMENT PROFESSIONAL WHO SIGNED NEW ACCOUNT FORM,NEW ACCOUNT FORM SIGNATORY INFORMATION
A,640-647,9(08),N,,date_investment_professional_signed_new_account_form,"DATE INVESTMENT PROFESSIONAL SIGNED NEW ACCOUNT FORM, in CCYYMMDD format",NEW ACCOUNT FORM SIGNATORY INFORMATION
A,648-662,X(15),AN,,name_of_principal_who_signed_new_account_form,NAME OF PRINCIPAL WHO SIGNED NEW ACCOUNT FORM,NEW ACCOUNT FORM SIGNATORY INFORMATION
A,663-670,9(08),N,,date_principal_signed_new_account_form,"DATE PRINCIPAL SIGNED NEW ACCOUNT FORM, in CCYYMMDD format",NEW ACCOUNT FORM SIGNATORY INFORMATION
A,671-671,X(01),AN,,politically_exposed_person_ind,"POLITICALLY EXPOSED PERSON IND., values include:
“Y” = Politically Exposed Person
“N” = Not a Politically Exposed Person
“U” = Unknown","ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
NOTE: The following field also appears in Record W, position 062"
A,672-672,X(01),AN,,private_banking_acct_indicator,"PRIVATE BANKING ACCT INDICATOR; values include:
“Y” = Private Banking Account
“N” = Not a Private Banking Account
“U” = Unknown",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,673-673,X(01),AN,,foreign_bank_account_indicator,"FOREIGN BANK ACCOUNT INDICATOR; values include:
“Y” = Account is for a foreign bank
“N” = Account is not for a foreign bank
“U” = Unknown or not applicable","ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
NOTE: The following field also appears in Record W, position 154"
A,674-677,X(04),AN,,initial_source_of_funds,"INITIAL SOURCE OF FUNDS; values include:
“ALMY” = Alimony
“AREC” = Accounts Receivable
“ASAV” = Accumulated Savings
“EINC” = Income from Earnings
“FDIN” = Fund Investors
“FECM” = Fees/Commissions
“GAME” = Lottery/Gaming Proceeds
“GIFT” = Gift
“INHT” = Inheritance
“INPR” = Investment Proceeds
“INSR” = Insurance Proceeds
“LSET” = Legal Settlement
“PRAS” = Proprietary Assets
“RDNA” = RVP/DVP – not applicable
“REPC” = Retained Earnings/Paid in Capital
“RINC” = Rental Income
“RSAV” = Pension/IRA/Retirement Savings
“RLTN” = Spouse/Parent
“ROLL” = Rollover
“SALE” = Sale of Business
“SORE” = Sale of Real Estate
“OTHR” = Other (values, if populated, in Rec B, pos 287-316)
“UNKN” = Unknown",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,678-681,X(04),AN,,usa_patriot_act_exempt_reason,"USA PATRIOT ACT EXEMPT REASON; values include:
“NOEX” = Not Exempt
“CONV” = Conversion
“ERSA” = ERISA
“PEAC” = Pre-existing Account
“PTRD” = Publicly Traded Company
“RBNK” = Regulated Bank
“GVTI” = Government Institution
“UNKN” = Unknown
“IBEX” = IBD Exempt",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,682-683,X(02),AN,,primary_country_of_citizenship,PRIMARY COUNTRY OF CITIZENSHIP; see Appendix Q,ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,684-685,X(02),AN,,country_of_residence,COUNTRY OF RESIDENCE; see Appendix Q,ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,686-693,9(08),N,,birth_date,"BIRTH DATE, in CCYYMMDD format",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,694-694,X(01),AN,,age_based_fund_roll_exempt_ind,"AGE-BASED FUND ROLL EXEMPT IND.; values include:
“Y” = Exempt
“N” = Not Exempt
“” = Not applicable or available",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,695-695,X(01),AN,,money_fund_reform_retail,"MONEY FUND REFORM - RETAIL (effective late 2nd  Q, 2016); values include:
“Y” = Yes
“N” = No
“” = Not applicable or available",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,696-696,X(01),AN,,trusted_contact_status,"TRUSTED CONTACT STATUS, effective 1st  Q, 2018; values include:
“C” = Collected but not stored at Pershing
“D” = Trusted contacts declined
“P” = Collected and stored at Pershing
“” = Not applicable or not yet populated",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,697-703,X(07),AN,,not_used,Not Used,ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,704-709,X(06),AN,,internal_use_ims_prime_broker,Internal Use (IMS/Prime Broker Code),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,710-711,X(02),AN,,intern_use_payout_code,Internal Use (Payout Code),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,712-714,X(03),AN,,internal_use_trade_number,Internal Use (Trader Number),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,715-718,X(04),AN,,internal_use_product_code,Internal Use (Product Code),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,719-722,X(04),AN,,customer_type,CUSTOMER TYPE; values are customer-defined,ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,723-726,X(04),AN,,internal_use_account_plan_type,Internal Use (Account Plan Type),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,727-730,X(04),AN,,internal_use_promotion_type,Internal Use (Promotion Type),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,731-734,X(04),AN,,internal_use_inv_obj_1,Internal Use (Inv Obj),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,735-738,X(04),AN,,internal_use_inv_obj_2,Internal Use (Inv Obj),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,739-742,X(04),AN,,internal_use_inv_obj_3,Internal Use (Inv Obj),ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,743-746,X(04),AN,,fulfillmen_ method,"FULFILLMENT METHOD; values include:
“BPKG” = Branded Package
“ESIG” = eSignature (paperless)
“GPDF” = Generate PDF
“SGNX” = SIGNiX
“” = Not applicable",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,747-747,X(01),AN,,credit_interest_indicator,"CREDIT INTEREST INDICATOR; values include:
“Y” = Earns Credit Interest
“N” = Does not earn Credit Interest
“” = Not applicable or available",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,748-748,X(01),AN,,ama_indicator,"AMA INDICATOR; values include:
“1” = AMA Cash Account *
“2” = AMA Margin Account *
“3” = Pending AMA
“4” = Basic AMA *
“5” = Pending Basic AMA
“7” = Sweep
“8” = Banklink
“0” = Previously active sweep status changed to inactive, closed, or purged
“P” = Pending Resource Checking
“R” = Resource Checking
“” = Not applicable
* Values 1, 2, and 4 represent active Corestone or proprietary bank AMA products.",ACCOUNT LEVEL INFORMATION FOR USA PATRIOT ACT
A,749-749,X(01),AN,,pershing_internal_use_only,For Pershing Internal Use Only,
A,750-750,X(01),AN,,,Literally “X”; indicates the end of record A,
B,001-002,X(02),AN,,transaction_code,TRANSACTION CODE = “CI”,
B,003-003,X(01),AN,,record_indicator_value,RECORD INDICATOR VALUE = “B”,
B,004-011,9(08),N,,record_id_sequence_number,RECORD ID SEQUENCE NUMBER; begins with “00000001”,
B,012-020,X(09),AN,,account_number,"ACCOUNT NUMBER, including Office (3) and Base (6)",
B,021-023,X(03),AN,,introducing_broker_dealer_ibd_number,INTRODUCING BROKER DEALER (IBD) NUMBER,
B,024-024,X(01),AN,,not_used,Not Used,
B,025-027,X(03),AN,,investment_professional_ip_number,INVESTMENT PROFESSIONAL (IP) NUMBER,
B,028-028,X(01),AN,,not_used,Not Used,
B,029-038,X(10),AN,,account_short_name,ACCOUNT SHORT NAME,
B,039-040,X(02),AN,,not_used,Not Used,
B,041-041,X(01),AN,,tax_id_type,"TAX ID TYPE; values include:
“A” = Applied for
“E” = Applied for expired
“F” = WP-EIN
“I” = ITIN
“N” = Non-US
“Q” = QI-EIN
“S” = Social Security Number
“T” = RMD Number (EIN)
“W” = WT-EIN
“” = Not populated or applicable",TAX INFORMATION
B,042-050,X(09),AN,,tax_id_number,TAX ID NUMBER,TAX INFORMATION
B,051-058,9(08),N,,date_tax_id_applied_for,"DATE TAX ID APPLIED FOR, in CCYYMMDD format",TAX INFORMATION
B,059-060,X(02),AN,,w8_w9_indicator,"W8-W9 INDICATOR; values include:
“” = Not applicable
“W8”
“W9”",TAX INFORMATION
B,061-068,9(08),N,,w8_w9_date,"W8-W9 DATE (DATE SIGNED), in CCYYMMDD format",TAX INFORMATION
B,069-076,9(08),N,,w8_w9_effective_recd_date,"W8-W9 EFFECTIVE (REC’D) DATE, in CCYYMMDD format",TAX INFORMATION
B,077-080,X(04),AN,,w8_w9_document_type,"W8-W9 DOCUMENT TYPE; values include:
“W8” = Foreign Tax Form W8
“W8BE” = Foreign Status Beneficial Owner
“W8CO” = W8 IBD
“W8D” = Original IRS Form W8
“W8E” = Expired Foreign Tax Form
“W8EC” = Foreign with effectively connected U.S. Business/Trade
“W8ET” = W8BEN-E (Entity)                                             (cont.)
“W8EX” = Foreign Status for Government/Organization
“W8IM” = Foreign Status for Intermediary
“W8IT” = W8-BEN (Individual)
“W8MT” = W8-IMY (Intermediary)
“W9” = U.S. Tax Form W9
“W9DT” = Add W9 Per Tax Reporting
“W9WH” = W9 but Subject to Backup Withholding",TAX INFORMATION
B,081-081,X(01),AN,,tax_status,"TAX STATUS; values include:
“” = Non-Exempt
“B” = Exempt
“A” = Approved Exempt Retail or Exempt COD accounts",TAX INFORMATION
